004_o_m_a_a,angry,0.18218350000000028
004_o_m_a_b,angry,0.03990379999999938
004_o_m_d_a,angry,0.03550149999999963
004_o_m_d_b,angry,0.040800799999999526
004_o_m_f_a,fear,0.03613540000000004
004_o_m_f_b,fear,0.03676130000000022
004_o_m_h_a,happy,0.03810070000000021
004_o_m_h_b,happy,0.039773400000000514
004_o_m_n_a,neutral,0.03771560000000029
004_o_m_n_b,sad,0.04021189999999919
004_o_m_s_a,neutral,0.03738440000000054
004_o_m_s_b,happy,0.03750149999999941
066_y_m_a_a,angry,0.03502929999999971
066_y_m_a_b,angry,0.04314689999999999
066_y_m_d_a,angry,0.03964060000000025
066_y_m_d_b,angry,0.03854180000000085
066_y_m_f_a,fear,0.04463660000000047
066_y_m_f_b,fear,0.036492399999998426
066_y_m_h_a,happy,0.04047860000000014
066_y_m_h_b,happy,0.038290100000001104
066_y_m_n_a,neutral,0.040449799999999314
066_y_m_n_b,neutral,0.037458400000000225
066_y_m_s_a,sad,0.04308100000000081
066_y_m_s_b,neutral,0.048966899999999924
079_o_f_a_a,angry,0.037466500000000735
079_o_f_a_b,disgust,0.03877419999999887
079_o_f_d_a,angry,0.035307500000001824
079_o_f_d_b,angry,0.04060630000000032
079_o_f_f_a,angry,0.037996399999997266
079_o_f_f_b,angry,0.042456300000001335
079_o_f_h_a,happy,0.03726610000000008
079_o_f_h_b,happy,0.040940599999998994
079_o_f_n_a,neutral,0.03877329999999901
079_o_f_n_b,neutral,0.044033200000001216
079_o_f_s_a,neutral,0.03649830000000165
079_o_f_s_b,happy,0.03752240000000029
1,happy,0.036241699999997934
1000_F_246149573_1dbnEopMZjSflWG4ZvojXhVVV8cTewTW,happy,0.04173970000000082
10_0_1_20170110225339066,happy,0.03941509999999937
10_0_2_20161219190639572,sad,0.039151600000000286
10_0_2_20170110224230094,sad,0.036826600000001264
10_0_3_20161220215952636,happy,0.035124800000001954
10_0_3_20170104225233504,happy,0.03955410000000015
10_0_3_20170105175322885,fear,0.03931970000000007
10_0_4_20161221192738446,happy,0.034022199999999
10_0_4_20170103200335831,happy,0.039447800000001365
10_0_4_20170103200409638,happy,0.03864160000000183
10_0_4_20170103200443015,happy,0.03786579999999873
10_0_4_20170103200501766,happy,0.04049580000000219
10_0_4_20170103201924664,neutral,0.040031700000000114
10_0_4_20170103202338152,neutral,0.04411370000000048
10_0_4_20170103212521420,happy,0.04024529999999871
10_0_4_20170103223451479,neutral,0.04029420000000172
10_1_0_20161220222001459,neutral,0.03841159999999988
10_1_0_20170103175323250,neutral,0.03514550000000227
10_1_0_20170103200654246,happy,0.03663590000000028
10_1_0_20170109202251032,neutral,0.036891799999999364
10_1_0_20170109202346880,neutral,0.038340800000000286
10_1_0_20170109203245653,happy,0.056013199999998875
10_1_0_20170109203357787,neutral,0.03890930000000026
10_1_0_20170109203427416,happy,0.03968070000000168
10_1_0_20170109203438428,neutral,0.03695540000000008
10_1_0_20170109203501969,happy,0.03691469999999697
10_1_0_20170109203501969,happy,0.04646390000000267
10_1_0_20170109203512075,happy,0.040591799999997846
10_1_0_20170109203556029,happy,0.0374473999999978
10_1_0_20170109203608654,neutral,0.03882569999999674
10_1_0_20170109203642966,happy,0.03937639999999831
10_1_0_20170109203759972,neutral,0.038848899999997855
10_1_0_20170109203905538,happy,0.034074300000000335
10_1_0_20170109203924076,happy,0.03845109999999963
10_1_0_20170109204148144,happy,0.04360679999999917
10_1_0_20170109204244904,happy,0.0394065000000019
10_1_0_20170109204255055,happy,0.04311560000000014
10_1_0_20170109204259563,happy,0.03617180000000175
10_1_0_20170109204338404,happy,0.03811879999999945
10_1_0_20170109204422889,happy,0.03824200000000033
10_1_0_20170109204435809,happy,0.040944599999999554
10_1_0_20170109204502951,happy,0.04502310000000165
